game_id,event_id
0022300576,0640a56cbd34ef6217b8c864bd01579a
0022400753,06420b6c46a70fe5fcfb0a4ae98013eb
0022500641,06550e9068aeea4e2be8aabda5cf129b
0022401202,0667c1e4b0ffd20ab6acdceee432183f
0022300356,066e305acb855af6c5fd416e54a9fbcc
0022300241,06728e1e5678fb6a4f904c800cd3f464
0022401029,067f8561e157513e281e6424b1f041a5
0022300598,068b6bf7864d9d6593b028f855d91ea8
0022400161,0699f97f41299dacc9f8925b8578f6e4
0022400433,069de53617a33409fad9af82b567b9b1
0022300068,06ae6d0547da80d7854c003842247b43
0022400388,06bea5c751ad73d3977dc90d2b8e198b
0022501199,06ccc7d0ba2acaf031c7d42eea09672c
0022301127,06d0be459ad524173cb82a9f227323ef
0022300655,06e1e6df721b1e5b7ad6c4b4082a4a1b
0022400870,06f98f72ad122e54a758f31e2ca69f92
0022500124,070ca82391365631462414ecb4a0d327
0022400358,0717c42f68b5c2524c27431cf8861329
0022300622,071ee3e84d6e3ecce12d8c5e4ab4da0b
0022500005,072f959e31211e7c805451ce92a5f4e5
0022301178,0763aaf0f0a677dcde7194ae6a5aa13c
0022300121,0766d697969e72b7db61b6d5dd6577b7
0022500753,076f5eadf0573f4dd2ace4f26ae28ef2
0022500508,078a4d38068bc82683be486a54fc6995
0022500268,078f0883a88c1fb2deaf8a47b59c671f
0022400406,07a07eaa8f786d68cb371107f36f5b33
0022400990,07aec6a545be9cff5de723ea38b3ced2
0022500502,07c210d30cdf1a467ae466394c9c7d2c
0022300845,07d0e5712f774667d860648b1afa0d41
0022300353,07efeae8c927b22af0ba4e020dbb1056
0022400359,081e6621470f217e705dfdb7a7002270
0022300756,082c7f84d354f62e39be231b90c132a3
0022400370,0837d9568df4daac2dd707b8e927b9d3
0022500184,084b0e20e0e0c30eb2ab6c9b6bcc55f0
0022400613,08506118721a1523d1e2b26c11676ec8
0022501166,0852cffec341701f6a0dde8619ae9f56
0022500646,08532c5ceb916194106d04e818ec4511
0022400981,085c54e542467c56637a2e0ccd86d9ee
0022300028,086ad3c8c51d6e2964a45e747b63e2da
0022300781,086bdadf2294ca0d8eba86e1d8f951d8
0022300478,0870c85f22b7c9fca69b8a7937019b94
0022500265,088f5bc93c60e40ff3b46827e155d74a
0022501013,08972bedbb384ff5c67374d76d71c61b
0022300513,089a78a2e29bbcdfc79a62f3e663078b
0022501161,08c9fd2b6b80f1f763e2c2eb3e935208
0022301139,08d21ecc524683bf973f71d3b9264023
0022500470,08d7e57dd2b795455b1abb447f608705
0022500158,08e29200254c376c5f4af4a9b18b9d24
0022400970,08fb6f00569c49483cd2bd39368d6a41
0022500345,091237ab322a19a025b7954a6b5fb248
0022300948,0915842fc929d6f203466dc8f14f4fce
0022500930,0921e076bc572536f8a2ecd29ce1c426
0022401099,093b32242d261aa422ff3d00333d45d6
0022400696,093d616c3e0657ee88285396d418c656
0022400481,09540a7b36c6595f914366fac21b9341
0022300815,09552a2817720d3ee87c72dc3bb6da42
0022300499,0958da6a611bae4e69976d6b833f0592
0022501197,09604d4c311c1eb2215317d12154f42a
0022400055,09758dcdf7adb5fded5490f2191ba107
0022400243,098e51ebb9ad331b0fe039e0f3230d91
0022300017,098e6def7ec861b2178ec2a85f3d6011
0022300327,098ed2a2a3d0f9abba3635b3369fe973
0022300221,0994fa5af8592372abf8c6390fc40083
0022300553,099cb6b9fc9683325034c5d2709eb940
0022501201,099fbdb7f4738db6e1f5b7889ab3d707
